# Title : in-situ platforms catalog
# Description : catalog of available in-situ platforms
# Project :  Copernicus Marine In Situ TAC
# Format version : 1.4
# Date of update : 2021-02-12T15:30:57Z
# platform_code,date_creation,date_update,wmo_platform_code,data_source,institution,institution_edmo_code,parameters,last_latitude_observation,last_longitude_observation,last_date_observation
EXOC1285,2020-01-26T18:54:28Z,2020-01-26T18:54:28Z, ,GL_PR_CT_EXOC1285,Unknown institution, ,DEPH TEMP PSAL,45.05000,35.38000,1961-09-27T09:00:00Z
EXOC1295,2020-01-26T18:55:37Z,2020-01-26T18:55:37Z, ,GL_PR_CT_EXOC1295,Unknown institution, ,DEPH TEMP PSAL PHOS ALK3 PHPH NTRA SLCA DOX1,47.06200,38.85800,1950-05-24T08:00:00Z
EXOC1393,2020-01-26T19:00:30Z,2020-01-26T19:00:30Z, ,GL_PR_CT_EXOC1393,Unknown institution, ,DEPH PRES TEMP PSAL DOX1 SLCA PHOS,45.02000,36.25000,1993-10-21T12:34:48Z
EXOC1433,2020-01-26T19:05:17Z,2020-01-26T19:05:17Z, ,GL_PR_CT_EXOC1433,Unknown institution, ,DEPH DOX1 SLCA PHOS TEMP PSAL,45.62000,36.79200,1957-06-05T07:25:48Z
EXOC1434,2020-01-26T19:05:17Z,2020-01-26T19:05:17Z, ,GL_PR_CT_EXOC1434,Unknown institution, ,DEPH PHPH DOX1 PHOS TEMP SLCA PSAL ALK3 NTRA,41.68000,41.53000,1960-06-17T23:00:00Z
EXOC1436,2020-01-26T19:05:17Z,2020-01-26T19:05:17Z, ,GL_PR_CT_EXOC1436,Unknown institution, ,PRES TEMP PSAL,44.93300,29.65000,1960-10-26T04:00:00Z
EXOC1454,2020-01-26T19:06:32Z,2020-01-26T19:06:32Z, ,GL_PR_CT_EXOC1454,Unknown institution, ,DEPH TEMP PSAL,45.22000,36.60000,1952-02-07T05:00:00Z
EXOC1455,2020-01-26T19:06:32Z,2020-01-26T19:06:32Z, ,GL_PR_CT_EXOC1455,Unknown institution, ,DEPH TEMP DOX1 PSAL PHPH,47.05000,37.65000,1952-06-07T11:25:12Z
EXOC1456,2020-01-26T19:06:32Z,2020-01-26T19:06:32Z, ,GL_PR_CT_EXOC1456,Unknown institution, ,DEPH DOX1 TEMP PSAL SLCA,45.22000,36.62000,1951-12-15T07:00:00Z
EXOC1457,2020-01-26T19:06:32Z,2020-01-26T19:06:32Z, ,GL_PR_CT_EXOC1457,Unknown institution, ,DEPH PSAL TEMP ALK3 PHPH DOX1,47.12000,39.02000,1950-05-19T09:00:00Z
EXOC1458,2020-01-26T19:06:32Z,2020-01-26T19:06:32Z, ,GL_PR_CT_EXOC1458,Unknown institution, ,DEPH TEMP PSAL DOX1 PHPH SLCA PHOS,45.45500,37.41300,1953-07-24T08:06:00Z
